Model,Task,PR-AUC,PR-AUC SD,AUC-ROC,AUC-ROC SD,Median Rank,Median Rank SD
Kinematic Expert,kinematic,0.6882827247099319,0.028008224057270242,0.999698886566079,9.323926177676505e-05,60.9,2.219234102117215
Gps Expert,kinematic,5.1875969753692225e-05,6.074919989832798e-06,0.5060927140519905,0.018574150360684518,1062665.1,76721.90278564523
Sequential Expert,kinematic,0.24056523332673754,0.01997246134754375,0.9991218478458462,0.00030829200130651284,222.5,32.26259444000126
IF on kinematic,kinematic,0.3666786360497819,0.03447854369014263,0.9976388742955826,7.835927294314657e-05,712.1,360.6307668516373
LOF on kinematic,kinematic,0.3827236540051673,0.02545911880419853,0.9916498291219777,0.004176040173786263,114.7,29.710267585466138
OCSVM on kinematic,kinematic,0.4621891504053199,0.03158747789189482,0.989532489547355,0.005886287966030179,79.6,5.920304046246273
KNN on kinematic,kinematic,0.3955273087906804,0.02070390762315634,0.9995961634248319,6.846284254467239e-05,104.8,11.233877335986893
ECOD on kinematic,kinematic,0.6882827247099319,0.028008224057270242,0.999698886566079,9.323926177676505e-05,60.9,2.219234102117215
IF on gps,kinematic,5.1875969753692225e-05,6.074919989832798e-06,0.5060927140519905,0.018574150360684518,1062665.1,76721.90278564523
LOF on gps,kinematic,4.9933809212472297e-05,5.513627961961219e-06,0.5070750722595891,0.024669704060461553,1086560.7,115718.78783639673
OCSVM on gps,kinematic,4.7175548628935266e-05,4.396223195571906e-06,0.49496717824031994,0.025576680921122925,1126236.0,89506.4163489132
KNN on gps,kinematic,5.0036064964380345e-05,4.797583070426175e-06,0.5009228417560443,0.02771106127090212,1104708.8,143222.88433967176
ECOD on gps,kinematic,4.954065383095448e-05,4.169366810068445e-06,0.5098222964006544,0.022414988028300935,1086143.6,42461.34708531982
IF on behavioural,kinematic,0.012000414836767934,0.002770346835440746,0.9960319455553535,0.00025178391033701475,3476.2,477.2459533615765
LOF on behavioural,kinematic,0.1949946282688308,0.023090460929982026,0.9863901090710779,0.0029452607521411826,626.6,260.7322381294649
OCSVM on behavioural,kinematic,0.3892227195992591,0.026498123530410676,0.9765073063988365,0.01496127038409969,106.6,22.353411372763667
KNN on behavioural,kinematic,0.30145203563460576,0.021092815192388727,0.9989561334302854,0.00017786418522783656,153.3,35.580191118092664
ECOD on behavioural,kinematic,0.4111870665650278,0.036030165378563885,0.9992534102890384,0.00016349808497441993,146.0,15.783694117664597
IF on all,kinematic,0.00491608140538292,0.0008423452441815913,0.9908042637702236,0.000668974836856568,9594.4,1045.1542589493667
LOF on all,kinematic,0.08626860721603544,0.013050065593240994,0.9789532675877112,0.005151661968004233,2206.6,831.861722283217
OCSVM on all,kinematic,0.34828691574147264,0.029526450964181838,0.9926235602617706,0.0037760888451359165,116.5,22.031227836868286
KNN on all,kinematic,0.2752424106670392,0.026237760062046495,0.9984663561170697,0.00031808097810072014,170.5,33.79164097820643
ECOD on all,kinematic,0.3081860870585222,0.05107896883597846,0.9988239829121979,0.00015327662116223215,252.1,86.2774593969943
Threshold rule,kinematic,0.34939029695617424,0.02961621445430671,0.9986509798218506,0.00022907556949405654,145.7,17.210461934532727
Kinematic Expert,gps,4.7972401371302996e-05,2.6379888210925748e-06,0.5088682757680422,0.022633831624003755,1045423.6,56405.21555162253
Gps Expert,gps,0.03516331362136627,0.01540493408583809,0.9886315079076532,0.0003883044726744793,23190.9,1153.8564360439302
Sequential Expert,gps,7.608554714084328e-05,6.0866752520791154e-05,0.49916975822577714,0.02049723437723432,1081786.1,100079.67328109137
